code,coding_system,event_abbreviation,tags
765.21,ICD9,Gestation_less24_UNK,
313178001,SNOMED,Gestation_less24_UNK,
428567001,SNOMED,Gestation_less24_UNK,
147035002,SNOMED,Gestation_less24_UNK,
169806005,SNOMED,Gestation_less24_UNK,
313178001,SNOMED,Gestation_less24_UNK,
428567001,SNOMED,Gestation_less24_UNK,
765.22,ICD9,Gestation_24_UNK,
313179009,SNOMED,Gestation_24_UNK,
69471007,SNOMED,Gestation_24_UNK,
147036001,SNOMED,Gestation_24_UNK,
169807001,SNOMED,Gestation_24_UNK,
313179009,SNOMED,Gestation_24_UNK,
69471007,SNOMED,Gestation_24_UNK,
765.23,ICD9,Gestation_25_26_UNK,
765.24,ICD9,Gestation_27_28_UNK,
765.25,ICD9,Gestation_29_30_UNK,
765.26,ICD9,Gestation_31_32_UNK,
765.27,ICD9,Gestation_33_34_UNK,
765.28,ICD9,Gestation_35_36_UNK,
765.29,ICD9,Gestation_more37_UNK,
P07.2,ICD10,Gestation_less24_LB,
P07.22,ICD10,Gestation_less24_LB,
P07.23,ICD10,Gestation_24_LB,
P07.2,ICD10,Gestation_25_26_LB,
P07.24,ICD10,Gestation_25_26_LB,
P07.25,ICD10,Gestation_25_26_LB,
P07.2,ICD10,Gestation_27_28_LB,
P07.26,ICD10,Gestation_27_28_LB,
P07.31,ICD10,Gestation_27_28_LB,
P07.32,ICD10,Gestation_29_30_LB,
P07.33,ICD10,Gestation_29_30_LB,
P07.34,ICD10,Gestation_31_32_LB,
P07.35,ICD10,Gestation_31_32_LB,
P07.36,ICD10,Gestation_33_34_LB,
P07.37,ICD10,Gestation_33_34_LB,
P07.38,ICD10,Gestation_35_36_LB,
P07.39,ICD10,Gestation_35_36_LB,
O75.82,ICD10,Gestation_more37_LB,
649.81,ICD9,Gestation_more37_LB,
649.82,ICD9,Gestation_more37_LB,
649.8,ICD9,Gestation_more37_LB,
649.8,ICD9,Gestation_more37_LB,
FGR_broad,Free_text,FGR,
FGR_narrow,Free_text,FGR,
O36.5,ICD10,FGR,
P05.9,ICD10,FGR,
P05,ICD10,FGR,
P05.1,ICD10,FGR,
P05.0,ICD10,FGR,
P05.2,ICD10,FGR,
O41.0,ICD10,FGR,
O36.5,ICD10,FGR,
P05.9,ICD10,FGR,
P05,ICD10,FGR,
O41.00,ICD10,FGR,
O41.0,ICD10,FGR,
O41.00X0,ICD10,FGR,
O43.89,ICD10,FGR,
P05.0,ICD10,FGR,
O41.00X9,ICD10,FGR,
O41.00X1,ICD10,FGR,
O41.00X2,ICD10,FGR,
O41.00X3,ICD10,FGR,
O41.00X4,ICD10,FGR,
O41.00X5,ICD10,FGR,
O43.893,ICD10,FGR,
O43.899,ICD10,FGR,
O43.891,ICD10,FGR,
O43.892,ICD10,FGR,
P05.07,ICD10,FGR,
P05.06,ICD10,FGR,
P05.01,ICD10,FGR,
P05.09,ICD10,FGR,
P05.03,ICD10,FGR,
P05.00,ICD10,FGR,
P05.05,ICD10,FGR,
P05.08,ICD10,FGR,
P05.2,ICD10,FGR,
P05.02,ICD10,FGR,
P05.04,ICD10,FGR,
656.5,ICD9,FGR,
656.51,ICD9,FGR,
656.53,ICD9,FGR,
656.50,ICD9,FGR,
764.9,ICD9,FGR,
764.92,ICD9,FGR,
764.98,ICD9,FGR,
764.94,ICD9,FGR,
764.99,ICD9,FGR,
764.97,ICD9,FGR,
764.91,ICD9,FGR,
764.93,ICD9,FGR,
764.90,ICD9,FGR,
764.95,ICD9,FGR,
764.96,ICD9,FGR,
764,ICD9,FGR,
658.0,ICD9,FGR,
658.03,ICD9,FGR,
658.01,ICD9,FGR,
658.00,ICD9,FGR,
656.5,ICD9,FGR,
656.50,ICD9,FGR,
764.9,ICD9,FGR,
764.90,ICD9,FGR,
658.00,ICD9,FGR,
658.01,ICD9,FGR,
764.99,ICD9,FGR,
W84015,ICPC2P,FGR,
10036150,NA,FGR,
10055706,NA,FGR,
10036153,NA,FGR,
10055708,NA,FGR,
10016497,NA,FGR,
10016498,NA,FGR,
10016857,NA,FGR,
10022819,NA,FGR,
10048488,NA,FGR,
10048489,NA,FGR,
10054746,NA,FGR,
10055695,NA,FGR,
10055696,NA,FGR,
10070531,NA,FGR,
10070532,NA,FGR,
10071034,NA,FGR,
10041042,NA,FGR,
10010163,NA,FGR,
10016862,NA,FGR,
10053700,NA,FGR,
10077582,NA,FGR,
10069150,NA,FGR,
10016521,NA,FGR,
10016865,NA,FGR,
10030289,NA,FGR,
10030293,NA,FGR,
10030292,NA,FGR,
10016507,NA,FGR,
10055705,NA,FGR,
10016505,NA,FGR,
10055703,NA,FGR,
10016499,NA,FGR,
10055697,NA,FGR,
10016500,NA,FGR,
10055698,NA,FGR,
10016502,NA,FGR,
10055700,NA,FGR,
10016504,NA,FGR,
10055702,NA,FGR,
L514.,READ,FGR,
X70Er,READ,FGR,
Xa09R,READ,FGR,
Xa09S,READ,FGR,
XE1eV,READ,FGR,
XE1eU,READ,FGR,
Q102.,READ,FGR,
Q100.,READ,FGR,
Q101.,READ,FGR,
Xa09P,READ,FGR,
Xa09Q,READ,FGR,
L280.,READ,FGR,
L2802,READ,FGR,
L2800,READ,FGR,
L2801,READ,FGR,
L280z,READ,FGR,
L514.,READ,FGR,
Q10z.,READ,FGR,
Q10..,READ,FGR,
L2800,READ,FGR,
L280z,READ,FGR,
L280.,READ,FGR,
L2801,READ,FGR,
200474004,SNOMED,FGR,
3554000,SNOMED,FGR,
397949005,SNOMED,FGR,
398276003,SNOMED,FGR,
22033007,SNOMED,FGR,
189445003,SNOMED,FGR,
206164002,SNOMED,FGR,
267258002,SNOMED,FGR,
276606009,SNOMED,FGR,
276607000,SNOMED,FGR,
64177003,SNOMED,FGR,
722525006,SNOMED,FGR,
722835006,SNOMED,FGR,
268815007,SNOMED,FGR,
18471004,SNOMED,FGR,
276604007,SNOMED,FGR,
199616008,SNOMED,FGR,
268245001,SNOMED,FGR,
431265009,SNOMED,FGR,
470750006,SNOMED,FGR,
470751005,SNOMED,FGR,
473420003,SNOMED,FGR,
724853001,SNOMED,FGR,
763717004,SNOMED,FGR,
840448004,SNOMED,FGR,
91849001,SNOMED,FGR,
199652007,SNOMED,FGR,
199656005,SNOMED,FGR,
59566000,SNOMED,FGR,
199653002,SNOMED,FGR,
199654008,SNOMED,FGR,
54213000,SNOMED,FGR,
713192002,SNOMED,FGR,
199614006,SNOMED,FGR,
200474004,SNOMED,FGR,
3554000,SNOMED,FGR,
397949005,SNOMED,FGR,
398276003,SNOMED,FGR,
156185006,SNOMED,FGR,
189445003,SNOMED,FGR,
206164002,SNOMED,FGR,
64177003,SNOMED,FGR,
722525006,SNOMED,FGR,
722835006,SNOMED,FGR,
206166000,SNOMED,FGR,
267258002,SNOMED,FGR,
276606009,SNOMED,FGR,
276607000,SNOMED,FGR,
22033007,SNOMED,FGR,
267337006,SNOMED,FGR,
268815007,SNOMED,FGR,
18471004,SNOMED,FGR,
206162003,SNOMED,FGR,
268814006,SNOMED,FGR,
276604007,SNOMED,FGR,
199616008,SNOMED,FGR,
268245001,SNOMED,FGR,
431265009,SNOMED,FGR,
470750006,SNOMED,FGR,
470751005,SNOMED,FGR,
473420003,SNOMED,FGR,
724853001,SNOMED,FGR,
763717004,SNOMED,FGR,
840448004,SNOMED,FGR,
91849001,SNOMED,FGR,
156190009,SNOMED,FGR,
199653002,SNOMED,FGR,
199654008,SNOMED,FGR,
54213000,SNOMED,FGR,
713192002,SNOMED,FGR,
157051001,SNOMED,FGR,
199652007,SNOMED,FGR,
199656005,SNOMED,FGR,
59566000,SNOMED,FGR,
GESTDIAB_narrow,Free_text,GESTDIAB,
O24.4,ICD10,GESTDIAB,
O24.4,ICD10,GESTDIAB,
O24.41,ICD10,GESTDIAB,
O24.410,ICD10,GESTDIAB,
O24.414,ICD10,GESTDIAB,
O24.419,ICD10,GESTDIAB,
O24.42,ICD10,GESTDIAB,
O24.420,ICD10,GESTDIAB,
O24.424,ICD10,GESTDIAB,
O24.429,ICD10,GESTDIAB,
O24.43,ICD10,GESTDIAB,
O24.430,ICD10,GESTDIAB,
O24.434,ICD10,GESTDIAB,
O24.439,ICD10,GESTDIAB,
648.8,ICD9,GESTDIAB,
648.04,ICD9,GESTDIAB,
648.04,ICD9,GESTDIAB,
W84,ICPC,GESTDIAB,
W85,ICPC2P,GESTDIAB,
W77004,ICPC2P,GESTDIAB,
W85001,ICPC2P,GESTDIAB,
10012606,NA,GESTDIAB,
10018209,NA,GESTDIAB,
10018210,NA,GESTDIAB,
10053700,NA,GESTDIAB,
10055189,NA,GESTDIAB,
