event_definition,coding_system,code,code_name,concept,concept_name,tags,origin,system,event_abbreviation,type
24 weeks pregnancy CHILD,ICD9CMP,765.22,24 completed weeks of gestation,C0730522,"Gestation period, 24 weeks",narrow,,P,24weeksCHILD,PrA
24 weeks pregnancy CHILD,ICD10CM,P07.23,"Extreme immaturity of newborn, gestational age 24 completed weeks",C2909943,"Extreme immaturity of newborn, gestational age 24 completed weeks",narrow,,P,24weeksCHILD,PrA
24 weeks pregnancy CHILD,ICD9CM,765.22,24 completed weeks of gestation,C0730522,"Gestation period, 24 weeks",narrow,,P,24weeksCHILD,PrA
24 weeks pregnancy CHILD,SCTSPA,15887011000119107,"bebé prematuro, 24 semanas",C4076153,Baby premature 24 weeks,narrow,,P,24weeksCHILD,PrA
24 weeks pregnancy CHILD,SNOMEDCT_US,15887011000119107,Baby premature 24 weeks,C4076153,Baby premature 24 weeks,narrow,,P,24weeksCHILD,PrA
24 weeks pregnancy,ICD10CM,P07.23,"Extreme immaturity of newborn, gestational age 24 completed weeks",C2909943,"Extreme immaturity of newborn, gestational age 24 completed weeks",exclude,,P,24weeksLB,PrA
24 weeks pregnancy,SCTSPA,15887011000119107,"bebé prematuro, 24 semanas",C4076153,Baby premature 24 weeks,exclude,,P,24weeksLB,PrA
24 weeks pregnancy,SNOMEDCT_US,15887011000119107,Baby premature 24 weeks,C4076153,Baby premature 24 weeks,exclude,,P,24weeksLB,PrA
24 weeks pregnancy unknown,ICD10CM,Z3A.24,24 weeks gestation of pregnancy,C3264102,24 weeks gestation of pregnancy,narrow,,P,24weeksUNK,PrA
24 weeks pregnancy unknown,ICD9CM,765.22,24 completed weeks of gestation,C0730522,"Gestation period, 24 weeks",exclude,,P,24weeksUNK,PrA
24 weeks pregnancy unknown,SCTSPA,69471007,"edad gestacional, 24 semanas",C0730522,"Gestation period, 24 weeks",exclude,,P,24weeksUNK,PrA
24 weeks pregnancy unknown,SCTSPA,313179009,"edad de gestación, 24 semanas",C0730522,"Gestation period, 24 weeks",exclude,,P,24weeksUNK,PrA
24 weeks pregnancy unknown,SNOMEDCT_US,69471007,"Gestation period, 24 weeks",C0730522,"Gestation period, 24 weeks",exclude,,P,24weeksUNK,PrA
24 weeks pregnancy unknown,SNOMEDCT_US,313179009,"Gestation period, 24 weeks",C0730522,"Gestation period, 24 weeks",exclude,,P,24weeksUNK,PrA
24 weeks pregnancy unknown,SNOMEDCT_US,147036001,Gestation = 24 weeks,C0730522,"Gestation period, 24 weeks",exclude,,P,24weeksUNK,PrA
24 weeks pregnancy unknown,SNOMEDCT_US,169807001,Gestation = 24 weeks,C0730522,"Gestation period, 24 weeks",exclude,,P,24weeksUNK,PrA
At term delivery with birth unsp,ICD9CMP,652.51,High head at term- delivered- with or without mention of antepartum condition,C0000000,Unassociated custom codes,narrow,,P,AtTermBUNSP,PrA
At term delivery with birth unsp,ICD10CM,O32.4,Maternal care for high head at term,C0495205,Maternal care for high head at term,exclude,,P,AtTermBUNSP,PrA
At term delivery with birth unsp,ICD10CM,O32.4XX9,"Maternal care for high head at term, other fetus",C2908156,"Maternal care for high head at term, other fetus",exclude,,P,AtTermBUNSP,PrA
At term delivery with birth unsp,ICD10CM,O32.4XX1,"Maternal care for high head at term, fetus 1",C2908151,"Maternal care for high head at term, fetus 1",exclude,,P,AtTermBUNSP,PrA
At term delivery with birth unsp,ICD10CM,O32.4XX0,"Maternal care for high head at term, not applicable or unspecified",C2908150,"Maternal care for high head at term, not applicable or unspecified",exclude,,P,AtTermBUNSP,PrA
At term delivery with birth unsp,ICD10CM,O60.20,"Term delivery with preterm labor, unspecified trimester",C2909173,"Term delivery with preterm labor, unspecified trimester",narrow,,P,AtTermBUNSP,PrA
At term delivery with birth unsp,ICD10CM,O60.2,Term delivery with preterm labor,C2909173,"Term delivery with preterm labor, unspecified trimester",narrow,,P,AtTermBUNSP,PrA
At term delivery with birth unsp,ICD10CM,O32.4XX3,"Maternal care for high head at term, fetus 3",C2908153,"Maternal care for high head at term, fetus 3",exclude,,P,AtTermBUNSP,PrA
At term delivery with birth unsp,ICD10CM,O32.4XX2,"Maternal care for high head at term, fetus 2",C2908152,"Maternal care for high head at term, fetus 2",exclude,,P,AtTermBUNSP,PrA
At term delivery with birth unsp,ICD10CM,O32.4XX5,"Maternal care for high head at term, fetus 5",C2908155,"Maternal care for high head at term, fetus 5",exclude,,P,AtTermBUNSP,PrA
At term delivery with birth unsp,ICD10CM,O60.23,"Term delivery with preterm labor, third trimester",C2909189,"Term delivery with preterm labor, third trimester",narrow,,P,AtTermBUNSP,PrA
At term delivery with birth unsp,ICD10CM,O32.4XX4,"Maternal care for high head at term, fetus 4",C2908154,"Maternal care for high head at term, fetus 4",exclude,,P,AtTermBUNSP,PrA
At term delivery with birth unsp,ICD10CM,O60.22,"Term delivery with preterm labor, second trimester",C2909181,"Term delivery with preterm labor, second trimester",narrow,,P,AtTermBUNSP,PrA
At term delivery with birth unsp,ICD10DA,O602,Veer før termin med fødsel til termin,C0151526,Premature Birth,narrow,,P,AtTermBUNSP,PrA
At term delivery with birth unsp,ICD9CM,652.5,High fetal head at term,C0426187,Failure of fetal head to enter pelvic brim,exclude,,P,AtTermBUNSP,PrA
At term delivery with birth unsp,ICD9CM,652.53,"High head at term, antepartum condition or complication",C0156947,"High head at term, antepartum condition or complication",exclude,,P,AtTermBUNSP,PrA
At term delivery with birth unsp,ICD9CM,652.51,"High head at term, delivered, with or without mention of antepartum condition",C0156946,"High head at term, delivered, with or without mention of antepartum condition",narrow,,P,AtTermBUNSP,PrA
At term delivery with birth unsp,ICD9CM,652.50,"High head at term, unspecified as to episode of care or not applicable",C0156945,"High head at term, unspecified as to episode of care or not applicable",exclude,,P,AtTermBUNSP,PrA
At term delivery with birth unsp,SCTSPA,299124003,"feto a término, edad de 36 a 42 semanas de gestación [como un todo]",C1281513,"Entire full term fetus, age 36-42 weeks",narrow,,P,AtTermBUNSP,PrA
At term delivery with birth unsp,SCTSPA,199376008,cabeza alta de término con problema prenatal,C0426188,High head at term with antenatal problem,exclude,,P,AtTermBUNSP,PrA
At term delivery with birth unsp,SCTSPA,199373000,cabeza alta de término,C0426187,Failure of fetal head to enter pelvic brim,exclude,,P,AtTermBUNSP,PrA
At term delivery with birth unsp,SCTSPA,199375007,cabeza alta a término - nacido,C0156946,"High head at term, delivered, with or without mention of antepartum condition",narrow,,P,AtTermBUNSP,PrA
At term delivery with birth unsp,SCTSPA,302253005,nacido por cesárea - embarazo a término,C0579080,Delivered by cesarean section - pregnancy at term,narrow,,P,AtTermBUNSP,PrA
At term delivery with birth unsp,SCTSPA,200147006,cesárea - embarazo a término,C0475520,Cesarean section - pregnancy at term,narrow,,P,AtTermBUNSP,PrA
At term delivery with birth unsp,SCTSPA,23667007,embarazo a término - nacido,C0233089,Term pregnancy delivered,narrow,,P,AtTermBUNSP,PrA
At term delivery with birth unsp,SCTSPA,87527008,embarazo a término,C0232991,Term pregnancy,exclude,,P,AtTermBUNSP,PrA
At term delivery with birth unsp,RCD2,L2272,High head at term with antenatal problem,C0426188,High head at term with antenatal problem,exclude,,P,AtTermBUNSP,PrA
At term delivery with birth unsp,RCD2,L2270,High head at term unspecified,C0426187,Failure of fetal head to enter pelvic brim,exclude,,P,AtTermBUNSP,PrA
At term delivery with birth unsp,RCD2,L227.,High head at term,C0426187,Failure of fetal head to enter pelvic brim,exclude,,P,AtTermBUNSP,PrA
At term delivery with birth unsp,RCD2,L227z,High head at term NOS,C0426187,Failure of fetal head to enter pelvic brim,exclude,,P,AtTermBUNSP,PrA
At term delivery with birth unsp,RCD2,L2271,High head at term - delivered,C0156946,"High head at term, delivered, with or without mention of antepartum condition",narrow,,P,AtTermBUNSP,PrA
At term delivery with birth unsp,RCD2,L3982,Caesarean section - pregn term,C0475520,Cesarean section - pregnancy at term,narrow,,P,AtTermBUNSP,PrA
At term delivery with birth unsp,SNOMEDCT_US,299124003,"Entire full term fetus, age 36-42 weeks",C1281513,"Entire full term fetus, age 36-42 weeks",narrow,,P,AtTermBUNSP,PrA
At term delivery with birth unsp,SNOMEDCT_US,199376008,High head at term with antenatal problem,C0426188,High head at term with antenatal problem,exclude,,P,AtTermBUNSP,PrA
